video,url
Action Potential,
Anatomy and Physiology Chapter 10 Part D Lecture： The Muscular System,https://www.youtube.com/watch?v=IotJiLgIwvQ
Anatomy and Physiology Chapter 18 Part A lecture： The Cardiovascular System,https://www.youtube.com/watch?v=LQ7IXyQSXBk
Anatomy and Physiology Chapter 6 Part A： Bones and Skeletal Tissue Lecture,https://www.youtube.com/watch?v=LQ7IXyQSXBk
Anatomy and Physiology Chapter 7 Part C Lecture： The Skelton,https://www.youtube.com/watch?v=3ZA33n7BrRg
Anatomy & Physiology Chapter 8 Lecture Part A ： Joints,https://www.youtube.com/watch?v=RH-Pe9MBDBU
Basic Dental Terminology - UPDATED,https://www.youtube.com/watch?v=scJH8HA8zAM
Chapter 25 The RNA Viruses of Medical Importance,https://www.youtube.com/watch?v=48P6ivl0tW4
Chapter 32   Excretion System,https://www.youtube.com/watch?v=RntXStwLA48
Chapter 33   Animal Nutrition and Digestion,https://www.youtube.com/watch?v=aolwNMIJBQU
Chapter 35   Innate Immunity,https://www.youtube.com/watch?v=dC93OcrNX6c
Chapter 38   Nervous System,https://www.youtube.com/watch?v=8WPrZe83-zw
CurrentTopicsLecture10Ch10.mp3,https://www.youtube.com/watch?v=lhvoqQzbcBY
CurrentTopicsLecture3Ch3.mp3,https://www.youtube.com/watch?v=DZSEErNZ1d4
CurrentTopicsLecture5Ch5.mp3,https://www.youtube.com/watch?v=uS8F-qRUeMM
Developmental Psychology - Cognitive Development of Adolescence - CH8,https://www.youtube.com/watch?v=LxjnpUxUFUE
Developmental Psychology - Cognitive Later In Life - CH14,https://www.youtube.com/watch?v=uNrB2uG_9gs
Developmental Psychology - Dying and Bereavement - CH 16,https://www.youtube.com/watch?v=tmXh_vj88sE
Developmental Psychology - Middle Adulthood - Biosychosocial - CH13,https://www.youtube.com/watch?v=hOT3-eQ78ug
Developmental Psychology - Middle Adulthood - CH11,https://www.youtube.com/watch?v=8OrCdgHcMVM
"Developmental Psychology - Physical, Perceptual, and Motor Development - CH3",https://www.youtube.com/watch?v=aLK_nkgx8wo
Developmental Psychology - Socioemotional Development In Infancy  - CH5,https://www.youtube.com/watch?v=O4QBTXeWmBc
Endocrine System - Pituitary Gland THE MASTER GLAND,https://www.youtube.com/watch?v=DM4MWxnXOzM
"Endodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT",https://www.youtube.com/watch?v=crA3cOwKXmc
"Endodontics ｜ Pulp Biology and Tooth Pain ｜ INBDE, ADAT",https://www.youtube.com/watch?v=7EsHL8Sacg0
Epithelial Tissue Practice quiz,https://www.youtube.com/watch?v=BsXUWddl-as
Head & Neck Anatomy ｜ Fascial Space Infections ｜ INBDE,
Head & Neck Anatomy ｜ Muscles of Mastication ｜ INBDE,
Head & Neck Anatomy ｜ PRACTICE QUESTIONS ｜ INBDE,
How to Write a Descriptive Essay｜Essay Writing and Presentation skills Eng406 Lecture 08,
Human Anatomy Lecture  Ch 10 Skeletal Muscle Tissue,https://www.youtube.com/watch?v=gvhMDfQc58c
Human Anatomy Lecture  Ch 20 Blood Vessels Pt 1,https://www.youtube.com/watch?v=FEh0PRkiRgg
Human Anatomy Lecture  Ch 5 The Integumentary System,https://www.youtube.com/watch?v=grudC3qeMfU
Human Biology： Ch 16.3- Cardiovascular System Part 1,https://www.youtube.com/watch?v=3Ht5yP6zXoY
Human Biology lecture：  Ch 3- Cell Structure and Function,https://www.youtube.com/watch?v=MoQWPwzTzFE
"Lecture 1.1： Introduction (Multimodal Machine Learning, Carnegie Mellon University)",https://www.youtube.com/watch?v=fBYu8I52nVM
"Lecture 1.2： Datasets (Multimodal Machine Learning, Carnegie Mellon University)",https://www.youtube.com/watch?v=fBYu8I52nVM
"Lecture 4.2： Coordinated Representations (Multimodal Machine Learning, Carnegie Mellon University)",https://www.youtube.com/watch?v=2_dZ5GBlRgU
Microbiology - Introduction to Microbiology - Chapter 1 - Part 1.1,https://www.youtube.com/watch?v=dEh_Zk9d0sE
"Operative Dentistry ｜ Cavity Preparation ｜ INBDE, ADAT",https://www.youtube.com/watch?v=WdqJlT1h8xA
"Operative Dentistry ｜ Composite Resin & Glass Ionomer ｜ INBDE, ADAT",https://www.youtube.com/watch?v=-wxW5fJtzfU
"Operative Dentistry ｜ Dental Caries ｜ INBDE, ADAT",https://www.youtube.com/watch?v=6U2ZTAWnVvo
"Operative Dentistry ｜ Instrumentation ｜ INBDE, ADAT",https://www.youtube.com/watch?v=J1S-SgJEuCo
Oral Medicine ｜ ASA Classification ｜ INBDE,https://www.youtube.com/watch?v=-8QB3Rbeqoc
Oral Medicine ｜ COPD & Asthma ｜ INBDE,
Oral Medicine ｜ Diabetes ｜ INBDE,https://www.youtube.com/watch?v=MLmLr0KW3f0
Oral Medicine ｜ INR & Bleeding ｜ INBDE,
"Oral Pathology ｜ Connective Tissue Malignant Tumors ｜ INBDE, ADAT",
"Oral Surgery ｜ Implants ｜ INBDE, ADAT",https://www.youtube.com/watch?v=DjxoB2XuDXE
"Oral Surgery ｜ Simple Extraction ｜ INBDE, ADAT",https://www.youtube.com/watch?v=mdE7H8maXcY
"Orthodontics ｜ Comprehensive Treatment & Appliances ｜ INBDE, ADAT",
"Orthodontics ｜ Diagnosis & Treatment Planning ｜ INBDE, ADAT",
"Orthodontics ｜ Growth & Development ｜ INBDE, ADAT",
"Orthodontics ｜ Mechanical Principles of Tooth Movement ｜ INBDE, ADAT",https://www.youtube.com/watch?v=OX9gR4F9NK8
"Orthodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT",https://www.youtube.com/watch?v=PnBGIMJeCQ0
Orthodontic Tooth Movement- Biomechanics- Duration,
Orthodontic Tooth Movement- Biomechanics- Types of Movement,https://www.youtube.com/watch?v=9GmySN5P408
"Patient Management ｜ Evidence-Based Dentistry ｜ INBDE, ADAT",https://www.youtube.com/watch?v=XqzL4f6L_Fo
"Patient Management ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT",https://www.youtube.com/watch?v=8jpO19qalIo
"Pediatric Dentistry ｜ Space Management ｜ INBDE, ADAT",https://www.youtube.com/watch?v=wtfyOlHGeJY
"Pediatric Dentistry ｜ Tooth Development and Eruption ｜ INBDE, ADAT",https://www.youtube.com/watch?v=PLAMJJfZ-eo
"Periodontics ｜ New Classification System ｜ INBDE, ADAT",https://www.youtube.com/watch?v=Yeq6LO3q4Vo
"Periodontics ｜ Pathogenesis ｜ INBDE, ADAT",https://www.youtube.com/watch?v=Q7o9D2xxWVk
"Periodontics ｜ Surgical Therapy ｜ INBDE, ADAT",https://www.youtube.com/watch?v=ewjt-8MRbxY
"Prosthodontics ｜ Complete Dentures - Vertical Dimension & Determinants ｜ INBDE, ADAT",
"Prosthodontics ｜ Gypsum Materials ｜ INBDE, ADAT",https://www.youtube.com/watch?v=T6L_Q3TY63I
"Prosthodontics ｜ Kennedy Classification ｜ INBDE, ADAT",https://www.youtube.com/watch?v=jW3DWinvLaU
"Prosthodontics ｜ Occlusion & Articulators ｜ INBDE, ADAT",https://www.youtube.com/watch?v=0FL4KBfLlJg
"Prosthodontics ｜ Pontic & Connector Design ｜ INBDE, ADAT",
PSY101 - Conditioning and Learning,https://www.youtube.com/watch?v=j2-9yymHfeU
Tips for Your Presentation Skills｜Essay Writing and Presentation skills Eng406 Lecture 23,https://www.youtube.com/watch?v=E_3gxQWaCoQ
